name_entreprise,name_establishment,creation_date,type_way,address,city,postal_code,gender,first_name,last_name,brewery_status,created_by,last_modification_date,last_modified_by
CERES,,1997-10-15,RUE,LEO LAGRANGE,DOUAI,59500,,,,0,,,
CERES,CERES,2013-07-05,RUE,DU FAUBOURG DE PARIS,DOUAI,59500,,,,0,,,
BRASSERIES DE BOURBON,,1900-01-01,QUAI,OUEST,SAINT-DENIS,97400,,,,0,,,
BRASSERIES DE BOURBON,,1962-04-02,,MON REPOS,SAINT PIERRE,97410,,,,0,,,
BRASSERIES DE BOURBON,,1994-12-19,AVENUE,ROLAND GARROS,SAINTE-MARIE,97438,,,,0,,,
BRASSERIE CASTELAIN,,1979-01-01,RUE,PASTEUR,BENIFONTAINE,62410,,,,0,,,
,LA CHAUVETTE,2022-07-01,RUE,DE BRUSSET,MALAUCENE,84340,M,PATRICK,MATTELIN,0,,,
,,2013-03-21,,LA CUDE,HYEMONDANS,25250,F,FRANCOISE,PORQUEZ,0,,,
LES BRASSEURS DU SORNIN,,1985-04-15,RTE,DE ROANNE,POUILLY-SOUS-CHARLIEU,42720,,,,0,,,
,,2014-02-18,RUE,DES GRIS,AVIZE,51190,M,BRUNO,SCHEMANN,0,,,
,ETABLISSEMENT LEMONIER,2023-01-19,RUE,RURAL DU PATURAL,BRIN-SUR-SEILLE,54280,M,ALAIN,LEMONIER,0,,,
,,2020-10-01,,CHAMPS MOUREY,ETALANS,25580,M,PASCAL,FAILLENET,0,,,
[ND],[ND],2021-04-01,[ND],[ND],SAINT-SULPICE-LE-GUERETOIS,[ND],[ND],[ND],[ND],0,,,
RESTAURANT LAUTH ET FILS,,1984-10-01,RUE,PRINCIPALE,SCHARRACHBERGHEIM-IRMSTETT,67310,,,,0,,,
,3B (BOISSONS ET BRASSAGE DE BOURGOGNE),2019-09-01,RUE,DU CHATEAU,SAINTE-MARIE-LA-BLANCHE,21200,M,JEAN,DESMEDT,0,,,
BRASSERIE 3 MONTS,,1985-02-13,RUE,DE LA CHAPELLE,SAINT-SYLVESTRE-CAPPEL,59114,,,,0,,,
COREFF,,2005-02-01,PLACE,DE LA GARE,CARHAIX-PLOUGUER,29270,,,,0,,,
COREFF,,2021-02-01,RUE,ELINOR OSTROM,LIFFRE,35340,,,,0,,,
KALIFRAIS,SYNTHE B,2021-11-29,RUE,ACHILLE PERES,DUNKERQUE,59640,,,,0,,,
,BRASSERIE LES COLLINES DU VENT,2021-07-01,RUE,DE LA POSTE,LAURABUC,11400,M,ERIC,DARASSE,0,,,
ALSABIERES,,2000-09-04,RUE,PRINCIPALE,SAINT-PIERRE,67140,,,,0,,,
SOCIETE REUNIONNAISE DE BRASSERIE,,1986-09-01,RUE,VALMY,SAINT-LOUIS,97450,,,,0,,,
BRASSERIE LA CHOULETTE,,1986-11-03,RUE,DES ECOLES,HORDAIN,59111,,,,0,,,
PAULANER BRAUEREI GRUPPE GMBH & CO KGAA,,1987-04-01,,HOCHTRASSE 75,,,,,,0,,,
,LA DEGUST' STATION,2020-11-01,RUE,DU TONNELET,SAINT-BENEZET,30350,M,DANIEL,PARMENTIER,0,,,
[ND],[ND],2022-10-01,[ND],[ND],MONTBRUN-DES-CORBIERES,[ND],[ND],[ND],[ND],0,,,
LE BRASSEUR,,2008-07-01,ALLEE,DE FAUGERAS,LIMOGES,87100,,,,0,,,
SOC BRAU UND BRUNNEN,,1989-02-01,,POSTFACH 105017 RHEINISCHE,,,,,,0,,,
SOC BRAU UND BRUNNEN,,1989-02-01,RUE,DE SAINT HUMBERT,MEZIERES-SUR-OISE,02240,,,,0,,,
,CARISBURG 1066,2022-07-01,RUE,SURCOUF,CHERBOURG-EN-COTENTIN,50100,M,ERIC,COTTEBRUNE,0,,,
HOLSTEN BAUEREI AG,,1986-01-01,,224D 2000 HAMBURGT 50,,,,,,0,,,
,,2018-11-30,,LE MENEU,PIPRIAC,35550,M,EMMANUEL,DENECKER,0,,,
MAISON MOITRIER-BRASSERIE ABC,,2019-11-15,PLACE,DE L'EGLISE,LESSY,57160,,,,0,,,
,NETBOUTFUT,2020-01-17,ROUTE,DE MONCEL,CHAMBREY,57170,M,PASCAL,RUPPERT,0,,,
WARSTEINER BRAUEREI HAUS CRAMER GMBH,,1990-06-01,,D 59564 WARSTEIN,,,,,,0,,,
B ET C SOLUTION,,2017-12-06,ROUTE,DE BROVES,BARGEMON,83830,,,,0,,,
SOC VERFEUILLE,,2010-04-15,RUE,DES TAILLADES,BRANOUX-LES-TAILLADES,30110,,,,0,,,
BRASSERIE LICORNE,,1991-09-01,RUE,DE DETTWILLER,SAVERNE,67700,,,,0,,,
BRASSERIE LICORNE,,2016-06-01,RUE,ROHAN,STEINBOURG,67790,,,,0,,,
KRONE AG,,1991-02-01,,BEESKOWDAMM,,,,,,0,,,
LUDELI,,2016-07-01,ROUTE,DES VIBERTS,SALLANCHES,74700,,,,0,,,
,BRASSERIE LA COULEUVRE,2010-06-28,LD,LA FIN DE MEULIN,DOMPIERRE-LES-ORMES,71520,M,MATTHIEU,BRENDLEN,0,,,
BIERBRAUREI BECKER,,1993-02-11,,D-6670 ST-INGBERT,,,,,,0,,,
SEINE PAYSAGE,,2021-04-19,RUE,DES HOUX,LAHOUSSOYE,80800,,,,0,,,
,,1994-02-08,PLACE,DU GENERAL DE GAULLE,BEAUREVOIR,02110,M,PATRICK,COMPAGNON,0,,,
CHALON BIERE NOUVELLE EN ABREGE C.B.N.,CHALON BIERE NOUVELLE EN ABREGE C.B.N.,2010-11-15,PLACE,GENERAL DE GAULLE,CHALON-SUR-SAONE,71100,,,,0,,,
,LA MONTMACH',2008-07-10,RUE,DE LA BAVETTE,MONTMACHOUX,77940,M,FRANCOIS,MAGOS,0,,,
[ND],[ND],2024-03-13,[ND],[ND],GALLARGUES-LE-MONTUEUX,[ND],[ND],[ND],[ND],0,,,
[ND],[ND],2024-04-09,[ND],[ND],GALLARGUES-LE-MONTUEUX,[ND],[ND],[ND],[ND],0,,,
,ASTRONAUTUS BREWER,1994-12-08,RUE,GRANDE,DAUBEUF-LA-CAMPAGNE,27110,M,OLIVIER,BAUDOIN,0,,,
FRANCOIS XAVIER VANTORRE,BRASSERIE VANTORRE,1996-12-23,,RD 104 MOULIN DES CORNES,COUX,07000,,,,0,,,
BRASSERIE PIETRA,,1995-02-02,ROUTE,DE LA MARANA,FURIANI,20600,,,,0,,,
,BRASSERIE LES DIVAS,2021-09-01,RTE,DE LA FOLIE,ORBAIS,51270,M,DAVY,FARIGOUL,0,,,
,LADY ALE,2020-02-03,FAUBOURG,DE PARIS,SAINT-POURCAIN-SUR-SIOULE,03500,M,JEAN,SCHILDER,0,,,
BRASSERIE DUYCK,,1999-10-25,ROUTE,NATIONALE,JENLAIN,59144,,,,0,,,
,,2015-04-01,AVENUE,DE TRESBARATS,SOUSTONS,40140,M,XAVIER,CHATEAU-COLLET,0,,,
,JACKS,2015-01-05,PL,PRESIDENT ALBERT LEBRUN,NOUES DE SIENNE,14380,M,ROBERT,HICKISH,0,,,
,,2011-01-01,,JOSPINET,LAMBALLE-ARMOR,22400,M,STEPHANE,FAY,0,,,
ADIS,,1994-10-01,,DYRASTIESTRAAT 5,,,,,,0,,,
,LA BANNE,2023-02-01,IMPASSE,DE LA FUMADE,MURAT-LE-QUAIRE,63150,M,LUC,CEYSSAT,0,,,
BRASSERIE LAMPEE BAUMGARTNER,,1996-05-15,,ZONE ARTISANALE,LE BOIS-PLAGE-EN-RE,17580,,,,0,,,
BRASSERIE LAMPEE BAUMGARTNER,,2001-12-31,,ZAC DES CLEMORINANTS,SAINTE-MARIE-DE-RE,17740,,,,0,,,
,LES TRAVAILLEURS DE L'AMER,2014-11-01,RUE,TRAVERSIERE,BRETTEVILLE-SUR-AY,50430,M,DAVID,COSSERON,0,,,
BRASSERIE THIRIEZ,,1996-07-01,RUE,DE WORMHOUT,ESQUELBECQ,59470,,,,0,,,
BRASSERIE DE KONINCK,,1996-12-01,,2018 ANVERS,,,,,,0,,,
,BRASSERIE BIO DU BESSIN,2014-04-01,RUE,DES LONGUES HAIES,NONANT,14400,M,OLIVIER,BENARD,0,,,
,LA BIERE DE MONTROUGE,2001-12-31,RUE,DESCARTES,MONTROUGE,92120,F,CLEMENTINE,COLLINET,0,,,
,,2016-05-01,RUE,GASSEL,KIRCHBERG,68290,M,THIERRY,KAUFMANN,0,,,
QUIETA VERTRIEBS GESELLSCHAFT,,1997-09-01,,D-83670 BED HEILBRUNN,,,,,,0,,,
,BIERES DE LA VALLEE JAVOT,1997-10-10,RUE,DE LA VALLEE,MACHAULT,77133,M,SYLVAIN,ROUHEN,0,,,
FERME BRASSERIE SAINT RIEUL,,1997-12-15,RUE,DE DRUCY,TRUMILLY,60800,,,,0,,,
HEINEKEN ENTREPRISE,BRASSERIE DE LA VALENTINE,1998-07-31,AV,FRANCOIS CHARDIGNY,MARSEILLE 11EME,13011,,,,0,,,
HEINEKEN ENTREPRISE,BRASSERIE DE L'ESPERANCE,1998-07-31,RUE,SAINT-CHARLES,SCHILTIGHEIM,67300,,,,0,,,
HEINEKEN ENTREPRISE,HEINEKEN-PELFORTH-KILLIANS'S-33-33 EXPORT-PANACH-BUCKLER-BIERES DU MONDE-AMSTEL-WIECKSE WITTE-WW,1998-07-31,RUE,DU GENERAL DE GAULLE,MONS-EN-BAROEUL,59370,,,,0,,,
HEINEKEN ENTREPRISE,,2011-09-01,RUE,DES MARTINETS,RUEIL-MALMAISON,92500,,,,0,,,
,LA GOUNASSE,2008-09-08,RUE,DE LA SOURCE SAINT MALO,VERDON,51210,M,STEPHANE,PEDRINI,0,,,
,BRASSERIE LA DOUCILLON,1997-12-23,CHEMIN,DU BOUDARD,CASSIS,13260,M,JEAN,FABERES,0,,,
BRASSERIE DE POULDREUZIC,,1998-02-19,,TREGONGUEN,POULDREUZIC,29710,,,,0,,,
,BRASSERIE PEPITOUF,2022-11-01,RUE,DU CHATEAU D'EAU,VILLERS-SOUS-SAINT-LEU,60340,M,PASCAL,TRAPENARD,0,,,
[ND],[ND],2012-10-25,[ND],[ND],VIEUX-MANOIR,[ND],[ND],[ND],[ND],0,,,
BRASSERIE DE BRETAGNE,,2020-05-28,RUE,VICTOR SCHOELCHER,CONCARNEAU,29900,,,,0,,,
CRITERION,,1998-07-03,RUE,DE L'EGLISE,SAALES,67420,,,,0,,,
,MICRO BRAZ,2020-05-05,RUE,DU PORS GWIR,CONCARNEAU,29900,M,LOIC,LE GALL,0,,,
LA BRASSERIE DU BOUFFAY,,2000-04-25,RUE,DES MONCEAUX,CARQUEFOU,44470,,,,0,,,
L ET L ALPHAND,,1998-08-01,PL,DE L'EGLISE,VALLOUISE-PELVOUX,05290,,,,0,,,
,BRASSERIE LA JOYEUSE,2023-02-22,CHE,DE LA JOYEUSE,ANCY-DORNOT,57130,M,DANIEL,STAPUREWICZ,0,,,
A TRIBBIERA,,1998-11-01,RTE,PRUNELLI,ISOLACCIO-DI-FIUMORBO,20243,,,,0,,,
KIRIN EUROPE GMBH,,1998-07-06,,BERLINER ALLEE 26,,,,,,0,,,
BRASSERIE DES CIMES,,1999-04-01,AVENUE,DE SAINT-SIMOND,AIX-LES-BAINS,73100,,,,0,,,
BRASSERIE DU MONT BLANC,,1998-12-15,PLACE,DE LA MAIRIE,LES HOUCHES,74310,,,,0,,,
BRASSERIE DU MONT BLANC,,2013-01-01,AVENUE,RENE CASSIN,LA MOTTE-SERVOLEX,73290,,,,0,,,
BRASSERIE DUPLESSI,,1999-05-01,RUE,AUX MOINES,LES TROIS LACS,27700,,,,0,,,
BRASSERIE DU SOLLIER,,2004-03-01,LD,LE TRONCAY,LE SUBDRAY,18570,,,,0,,,
BRASSERIE AKERBELTZ,,2012-03-15,,ZONE ARTISANALE DE LARRE LORE,ASCAIN,64310,,,,0,,,
NEW CONCEPT 3B,,2013-01-01,RUE,ARISTIDE BOUCICAUT,MONDEVILLE,14120,,,,0,,,
,,2015-10-19,,LE PIGEONNIER,ST MICHEL L OBSERVATOIRE,04870,M,LAURENT,CHEVALIER,0,,,
,,2020-04-15,CHEMIN,DE GRIGNON,MONTFROC,26560,M,DOMINIQUE,LOPEZ,0,,,
BRASSERIE TRI MARTOLOD,,2008-05-01,,COLGUEN,CONCARNEAU,29900,,,,0,,,
MOULINS D'ASCQ,,2021-08-01,RUE,DE LA DISTILLERIE,VILLENEUVE-D'ASCQ,59493,,,,0,,,
BRASSERIE DU BERRY,,1998-12-11,AVENUE,HENRI LAUDIER,BOURGES,18000,,,,0,,,
BRASSERIE D'UBERACH,,2014-01-01,RUE,DU CERF,VAL-DE-MODER,67350,,,,0,,,
,BRASSERIE DES ISLATTES,2016-01-01,RUE,DU FIEF L'ABBESSE,JARD-SUR-MER,85520,M,BERNARD,JAVERLIAT,0,,,
GLENTARRAGH LIMITED,,1999-06-01,,ATHOL STREET DOUGLAS,,,,,,0,,,
AU BARON,,2004-04-01,RUE,DU PIEMONT,GUSSIGNIES,59570,,,,0,,,
NINKASI FABRIQUES,,1999-08-10,RUE,MARCEL MERIEUX,LYON,69007,,,,0,,,
NINKASI FABRIQUES,,2011-10-28,AVENUE,EDOUARD HERRIOT,TARARE,69170,,,,0,,,
NINKASI FABRIQUES,,2012-02-01,CHEMIN,DU GENIE,VENISSIEUX,69200,,,,0,,,
NINKASI FABRIQUES,,2022-06-15,RUE,DE PARIS,TARARE,69170,,,,0,,,
,BRASSERIE DES EVEQUES,2001-01-01,RUE,DES COLIBRIS,VILLENEUVE-LES-MAGUELONE,34750,M,YANNICK,BONNET,0,,,
,,2020-03-01,CHEMIN,DU LAVOIR,SAINT-NICOLAS-DE-MACHERIN,38500,M,JEAN,SERENI,0,,,
CAP SALOMON,,1999-11-15,,PALAIS DES CONGRES DE MADIANA,SCHOELCHER,97233,,,,0,,,
ZANNEKIN,,2000-06-02,ROUTE,DE DUNKERQUE,CASSEL,59670,,,,0,,,
,BRASSERIE D'OCHE,2001-01-01,IMPASSE,DE LA RASSE,BERNEX,74500,M,WOJCIECH,ZOLNOWSKI,0,,,
[ND],[ND],2010-04-15,[ND],[ND],VALDALLIERE,[ND],[ND],[ND],[ND],0,,,
SCDF CRESTIA,,1993-10-01,RUE,SAULNIER,PARIS,75009,,,,0,,,
ARBOK,ARBOK,2000-01-04,RUE,DE KOULIKORO,QUETIGNY,21800,,,,0,,,
,MICROBRASSERIE LA HIPS,2022-04-20,RUE,DU PRESBYTERE,HIPSHEIM,67150,M,CHRISTOPHE,KOWOLIK,0,,,
SARL L.S DISTRIBUTION,,2003-01-01,,BOURRET,PORT SAINTE MARIE,47130,,,,0,,,
LA BRASSERIE DE VAUCLAIR,LA BRASSERIE DE VAUCLAIR,2000-02-15,LIEU DIT,VAUCLAIR,GIEY-SUR-AUJON,52210,,,,0,,,
BRASSERIE BOURGANEL,,2000-08-21,AVENUE,CLAUDE EXPILLY,VALS-LES-BAINS,07600,,,,0,,,
,,2024-04-02,,HAMEAU DES POURCELLES,LES MEES,04190,F,ISABELLE,FREMY,0,,,
,,2006-05-18,,LES GRENELS,SAINT-CYPRIEN,24220,M,STEPHEN,DUNNE,0,,,
BRASSERIE ARTISANALE DES VOSGES,,2014-10-01,RUE,DU VELODROME,SAINT-ETIENNE-LES-REMIREMONT,88200,,,,0,,,
,,2019-04-01,RUE,DU MANOIR,LA FEUILLIE,50190,M,NICOLAS,FRANCLET,0,,,
MELUSINE,,2000-06-26,,Z A E LA BARBOIRE,CHANVERRIE,85130,,,,0,,,
B C D,,2006-09-21,RUE,DU BOIS LE PRETRE,PONT-A-MOUSSON,54700,,,,0,,,
SOC NOUVELLE MAILLARD,,2010-01-01,AVENUE,CHARLES DE GAULLE,SAMER,62830,,,,0,,,
SHEPHERD NEAME,,2000-08-10,,KENT ME13 7AX,,,,,,0,,,
,,2009-04-15,CHE,DE CHALLARD,CORENT,63730,M,GREGORY,HUC,0,,,
BRASSERIE ARTISANALE DU CATEAU-CAMBRESIS,,2000-10-01,RUE,DU MARCHE AUX CHEVAUX,LE CATEAU-CAMBRESIS,59360,,,,0,,,
BRASSERIE DUBOCQ SA,,2000-10-27,,5530 PURNODE,,,,,,0,,,
SARL GATINORGE,,2016-02-29,HAMEAU,DE PILVERNIER,MONDREVILLE,77570,,,,0,,,
,,2009-06-24,,LA THUILE DE VULMIX,BOURG-SAINT-MAURICE,73700,M,ALEXIS,BRUN,0,,,
,BRASSERIE JE T'EN BRASSE,2022-12-13,PLACE,DE L'EGLISE,CHANTENAY-SAINT-IMBERT,58240,M,MOURAD,GHODHBANE,0,,,
,BRASSERIE JE T'EN BRASSE,2024-06-05,,LES DESRUES,DORNES,58390,M,MOURAD,GHODHBANE,0,,,
SARL FERME BRASSERIE DU VEXIN,,2000-11-23,RUE,DE LA CROIX DES RUELLES,THEMERICOURT,95450,,,,0,,,
SARL  MARE NOSTRUM  BRASSEUR,KEMAX,2000-12-11,PL,SAINT-MICHEL,CASTILLON,06500,,,,0,,,
SARL  MARE NOSTRUM  BRASSEUR,,2001-05-20,RUE,DE LA REPUBLIQUE,MENTON,06500,,,,0,,,
L'ALSACIENNE SANS CULOTTE,,2001-01-01,RUE,DU CHATEAU ZU-RHEIN,MULHOUSE,68200,,,,0,,,
BRASSERIE ARTISANALE DE LA DIVATTE,,2001-03-01,LD,LE NORESTIER,DIVATTE-SUR-LOIRE,44450,,,,0,,,
,GABACAGE,2001-02-05,CHEMIN,DU VALLON DE L'ORIOL,MARSEILLE,13007,M,GERARD,MANCINI,0,,,
,MENDI'ALE CRAFT,2024-07-08,RUE,DES TRAMS,OLORON-SAINTE-MARIE,64400,M,JOHN,CREUSOT,0,,,
BRASSERIE ARTISANALE RATZ,,2011-02-11,AV,DE SAINT EXUPERY,FONTANES,46230,,,,0,,,
BRASSERIE ARTISANALE RATZ,BRASSERIE ARTISANALE RATZ,2022-08-03,CHEMIN,DU CHAPITRE,TOULOUSE,31100,,,,0,,,
,DAN'S BEER,2024-04-10,RUE,ISAAC NEWTON,RIOZ,70190,M,DANIEL,TURLIN,0,,,
,LA BRASSERIE CLANDO,2016-06-01,,LD SENILLE,CHAUNAY,86510,M,LOIC,GRANDET,0,,,
BRASSERIE ARTISANALE DU SUD,,2001-04-06,AVENUE,FREDERIC MISTRAL,NYONS,26110,,,,0,,,
[ND],[ND],2016-01-28,[ND],[ND],SAINT-PRIX,[ND],[ND],[ND],[ND],0,,,
BRASSERIE LA SEQUERE,,2017-01-01,RUE,DE L’ARROUN,SEIGNOSSE,40510,,,,0,,,
BRASSERIE DES TROIS FONTAINES,,2010-01-18,RUE,DE LA PLUCHARDE,BRETENIERE,21110,,,,0,,,
,,2009-05-01,RUE,DU SEPTIER,APT,84400,M,ETIENNE,THOMASSIN,0,,,
BIERES DE CHIMAY,,2001-04-23,,6464 CHIMAY BAILEUX,,,,,,0,,,
LILLE DE LA REUNION,,2002-05-21,ZONE INDUSTRIELLE,N 2,SAINT-PIERRE,97410,,,,0,,,
LILLE DE LA REUNION,,2010-10-07,RUE,MICHEL ANGE,SAINTE-MARIE,97438,,,,0,,,
LILLE DE LA REUNION,,2014-10-22,ROUTE,DE SAVANNAH,SAINT-PAUL,97460,,,,0,,,
L'ARDOISE,,2022-09-10,CHEMIN,DE LA MAUNIERE,HYERES,83400,,,,0,,,
,,2017-01-16,ROUTE,DU STADE,RASTEAU,84110,M,FREDERIC,JULIEN,0,,,
LES FRERES BRASSEURS,,2011-04-10,ROUTE,DE PARIS,AUCAMVILLE,31140,,,,0,,,
[ND],[ND],2017-06-01,[ND],[ND],THONON-LES-BAINS,[ND],[ND],[ND],[ND],0,,,
[ND],[ND],2017-06-01,[ND],[ND],FETERNES,[ND],[ND],[ND],[ND],0,,,
BRASSERIE DE LA BAIE,FABRIQUE DE BIERES DE LA BAIE,2020-03-24,,LA RENCONTRE,PONTORSON,50170,,,,0,,,
BRASSERIE DU PILAT,,2011-10-01,ZONE ARTISANALE,DU GRAND PRE,SAINT-JULIEN-MOLIN-MOLETTE,42220,,,,0,,,
LES BRASSEURS DE LORRAINE,,2002-04-13,RUE,DU BOIS LE PRETRE,PONT-A-MOUSSON,54700,,,,0,,,
ESPACE 3B,,2014-09-01,PL,OUEST,LIEUSAINT,77127,,,,0,,,
,LA ZOU ' BLONE,2020-02-01,RUE,LONGUE,AZILLANET,34210,F,ZOE,PONCET,0,,,
,BENOIT SAINT-MARD,2002-01-03,RUE,DU STADE,SAMMARCOLLES,86200,M,BENOIT,SAINT MARD,0,,,
BRASSERIE LA ROUGET DE L ISLE,,2002-07-01,RUE,DES VERNES,BLETTERANS,39140,,,,0,,,
[ND],[ND],2024-04-26,[ND],[ND],NOGENT,[ND],[ND],[ND],[ND],0,,,
,BRUNEL BIERES,2021-01-02,IMPASSE,DE CERE,GASQUES,82400,M,PHILIP,BROWN,0,,,
[ND],[ND],2014-10-01,[ND],[ND],MAHERU,[ND],[ND],[ND],[ND],0,,,
BRASSERIE DE LA PIGEONNELLE,,2003-01-20,RUE,DE LA RONDE,CERE-LA-RONDE,37460,,,,0,,,
LA BRASSERIE DE BELLEFOIS,,2020-02-17,ROUTE,DE CLAN,NEUVILLE-DE-POITOU,86170,,,,0,,,
